STOCK	VALUE	DAY	TIME
ILC	501	6	1605	
ILC	904	11	1659	
ILC	591	4	1047	
ILC	683	7	1223	
ILC	88	1	1666	
ILC	497	3	1171	
ILC	565	1	1359	
ILC	414	3	1502	
ILC	389	14	1215	
ILC	586	6	1402	
ILC	573	13	1247	
ILC	566	2	1471	
ILC	538	3	1193	
ILC	381	6	1524	
ILC	510	4	1324	
ILC	76	10	1213	
ILC	281	13	1680	
ILC	865	9	1662	
ILC	887	5	1311	
ILC	433	10	934	
ILC	570	6	1005	
ILC	985	13	1143	
ILC	883	8	1325	
ILC	649	3	1304	
ILC	561	10	1504	
ILC	825	10	937	
ILC	340	11	1588	
ILC	688	5	1273	
ILC	900	10	959	
ILC	421	13	1236	
ILC	632	1	1022	
ILC	37	5	1144	
ILC	973	8	1560	
ILC	317	11	1617	
ILC	186	6	992	
ILC	667	4	1342	
ILC	260	9	1520	
ILC	245	7	1035	
ILC	38	14	1379	
ILC	745	13	1451	
ILC	952	12	1571	
ILC	390	4	1589	
ILC	904	6	1276	
ILC	751	6	1666	
ILC	32	8	1043	
ILC	255	12	1028	
ILC	651	4	1599	
ILC	66	4	1500	
ILC	80	11	1465	
ILC	301	11	1256	
ILC	879	12	1495	
ILC	385	7	1641	
ILC	804	8	1288	
ILC	456	3	1601	
ILC	272	11	950	
ILC	968	13	1144	
ILC	933	11	1106	
ILC	226	8	1647	
ILC	532	2	1266	
ILC	192	3	1217	
ILC	906	7	1037	
ILC	26	13	1588	
ILC	306	10	1697	
ILC	719	2	1528	
ILC	301	13	1311	
ILC	955	5	1566	
ILC	350	7	1163	
ILC	462	14	1616	
ILC	818	3	1338	
ILC	892	1	1699	
ILC	993	6	1216	
ILC	229	1	1300	
ILC	270	2	1069	
ILC	21	11	1174	
ILC	669	7	1429	
ILC	530	9	1179	
ILC	574	13	1594	
ILC	454	6	1035	
ILC	516	7	1611	
ILC	994	9	1699	
ILC	473	6	1008	
ILC	266	13	1491	
ILC	322	5	931	
ILC	601	2	1378	
ILC	121	8	1346	
ILC	310	3	1472	
ILC	699	12	1656	
ILC	660	3	1154	
ILC	979	10	1604	
ILC	346	3	1032	
ILC	232	2	1570	
ILC	981	11	1633	
ILC	901	10	1260	
ILC	453	12	1220	
ILC	917	10	1341	
ILC	752	6	1689	
